complaint,category
Third time complaining about this. Hospital discharged me prematurely and my condition worsened within 24 hours. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Long-time loyal customer here. Insurance denied pre-authorization for a surgery recommended by my doctor.,Healthcare & Pharmacy
I cannot believe this happened. Bank teller was extremely rude and refused to process my cheque.,Banking & Finance
Third time complaining about this. Subscription was auto-renewed without sending any reminder or notification. Please resolve this as a matter of urgency.,Telecom & Internet
I cannot believe this happened. My mobile data was exhausted without usage and the company refuses to refund. My entire family is affected by this issue.,Telecom & Internet
I ordered a laptop but received a completely different product in the package. My entire family is affected by this issue.,E-commerce & Shopping
Filing a formal complaint. No cutlery or napkins included even though I specifically requested them.,Food Delivery & Restaurant
I cannot believe this happened. Order was cancelled after thirty minutes of waiting without explanation. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Worst experience ever. Product was listed in-stock but order was cancelled after five days. My entire family is affected by this issue.,E-commerce & Shopping
No cutlery or napkins included even though I specifically requested them. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Worst experience ever. The restaurant lied about preparation time and order was two hours late. I will escalate this to a higher authority.,Food Delivery & Restaurant
Packaging was torn open and it was obvious someone had tampered with the food. This is absolutely unacceptable.,Food Delivery & Restaurant
Worst experience ever. My unlimited plan was throttled to 2G speeds after just ten days.,Telecom & Internet
Extremely disappointed. Debit card declined at the supermarket even though I had available funds. This is absolutely unacceptable.,Banking & Finance
Lab test results took three weeks when I was told two days.,Healthcare & Pharmacy
Extremely disappointed. Charging me for a device I returned in good condition last month. This is absolutely unacceptable.,Telecom & Internet
Refund was promised within seven days but three weeks passed with no credit. I demand immediate resolution.,E-commerce & Shopping
Third time complaining about this. Return request was rejected without any valid reason by the seller. I demand immediate resolution.,E-commerce & Shopping
Long-time loyal customer here. Order tracking has not been updated for a week and nobody knows where it is. I will escalate this to a higher authority.,E-commerce & Shopping
I cannot believe this happened. My order was marked as delivered but I never received anything at my address. Awaiting your prompt response.,E-commerce & Shopping
Extremely disappointed. Call dropping issue persists in my area since two months with no resolution.,Telecom & Internet
Very frustrated customer here. My mobile data was exhausted without usage and the company refuses to refund. I am considering switching to a competitor.,Telecom & Internet
I cannot believe this happened. My food order arrived two hours late and was completely cold when delivered.,Food Delivery & Restaurant
Extremely disappointed. Prescription delivery from online pharmacy arrived three weeks late. I am considering switching to a competitor.,Healthcare & Pharmacy
Long-time loyal customer here. My health insurance claim was rejected without any proper justification.,Healthcare & Pharmacy
Extremely disappointed. Network outage in my entire neighborhood has lasted more than 48 hours. This is absolutely unacceptable.,Telecom & Internet
Third time complaining about this. Data rollover feature was removed without any notification or consent. Awaiting your prompt response.,Telecom & Internet
I cannot believe this happened. Product was listed in-stock but order was cancelled after five days. Please resolve this as a matter of urgency.,E-commerce & Shopping
Online banking portal crashes every time I try to transfer money. Awaiting your prompt response.,Banking & Finance
Very frustrated customer here. Mental health helpline put me on hold for forty minutes during a crisis. I demand immediate resolution.,Healthcare & Pharmacy
Very frustrated customer here. My account was hacked and fraudulent orders were placed using my saved card. Please resolve this as a matter of urgency.,E-commerce & Shopping
The bank sent my personal details to the wrong email address. I will escalate this to a higher authority.,Banking & Finance
I cannot believe this happened. I have a severe nut allergy and they sent food with nuts despite instructions. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Filing a formal complaint. Call dropping issue persists in my area since two months with no resolution. I am considering switching to a competitor.,Telecom & Internet
Extremely disappointed. Hospital discharged me prematurely and my condition worsened within 24 hours. Awaiting your prompt response.,Healthcare & Pharmacy
Long-time loyal customer here. Unauthorized transactions appeared on my statement and the bank refuses to investigate.,Banking & Finance
I cannot believe this happened. ATM swallowed my card and the helpline kept me on hold for over two hours. This is absolutely unacceptable.,Banking & Finance
Third time complaining about this. Call dropping issue persists in my area since two months with no resolution.,Telecom & Internet
"I cannot believe this happened. Product quality was terrible, nothing like the photos shown online. I demand immediate resolution.",E-commerce & Shopping
My food order arrived two hours late and was completely cold when delivered.,Food Delivery & Restaurant
Extremely disappointed. No cutlery or napkins included even though I specifically requested them. I will escalate this to a higher authority.,Food Delivery & Restaurant
Third time complaining about this. Food quality has declined drastically and portions have become much smaller. I demand immediate resolution.,Food Delivery & Restaurant
Very frustrated customer here. Received an expired product from the online grocery store. This is absolutely unacceptable.,E-commerce & Shopping
Extremely disappointed. Bank teller was extremely rude and refused to process my cheque. Awaiting your prompt response.,Banking & Finance
Filing a formal complaint. My fixed deposit matured but the amount has not been credited to my account. I demand immediate resolution.,Banking & Finance
Worst experience ever. My fixed deposit matured but the amount has not been credited to my account. Awaiting your prompt response.,Banking & Finance
I cannot believe this happened. Charged a delivery fee that was not shown at the time of placing the order. I am considering switching to a competitor.,Food Delivery & Restaurant
Filing a formal complaint. Charged for a specialist visit but I only saw a general practitioner.,Healthcare & Pharmacy
Worst experience ever. Mental health helpline put me on hold for forty minutes during a crisis. I demand immediate resolution.,Healthcare & Pharmacy
Fiber installation was promised in two days but it has been three weeks. My entire family is affected by this issue.,Telecom & Internet
"Extremely disappointed. Product quality was terrible, nothing like the photos shown online. Awaiting your prompt response.",E-commerce & Shopping
Third time complaining about this. Overdraft fee charged even though I had sufficient balance in my account. My entire family is affected by this issue.,Banking & Finance
I was prescribed the wrong medication and it caused serious side effects. My entire family is affected by this issue.,Healthcare & Pharmacy
Third time complaining about this. Made to wait five hours even though I had a confirmed appointment. Awaiting your prompt response.,Healthcare & Pharmacy
Very frustrated customer here. Received a bill three times higher than my usual monthly charges. I will escalate this to a higher authority.,Telecom & Internet
Extremely disappointed. Charged shipping fee even though my order qualified for free delivery. Awaiting your prompt response.,E-commerce & Shopping
Extremely disappointed. Delivery partner did not follow the contactless delivery instructions. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
I cannot believe this happened. Refund for missing items was denied even though I sent photographic evidence. My entire family is affected by this issue.,Food Delivery & Restaurant
Extremely disappointed. Online doctor consultation app showed doctor available but was unresponsive. Awaiting your prompt response.,Healthcare & Pharmacy
Nurse administered incorrect dosage of injection and hospital denied the mistake. I demand immediate resolution.,Healthcare & Pharmacy
Long-time loyal customer here. Online banking portal crashes every time I try to transfer money. I am considering switching to a competitor.,Banking & Finance
Very frustrated customer here. Clinic lost my medical test reports and asked me to repeat all tests. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
I cannot believe this happened. International transaction was blocked without any prior notice. I am considering switching to a competitor.,Banking & Finance
Worst experience ever. Size chart was completely wrong and the returned item is being refused. This is absolutely unacceptable.,E-commerce & Shopping
Long-time loyal customer here. Overdraft fee charged even though I had sufficient balance in my account. I demand immediate resolution.,Banking & Finance
Extremely disappointed. Mobile app keeps logging me out and I cannot complete any transactions. I am considering switching to a competitor.,Banking & Finance
Extremely disappointed. My fixed deposit matured but the amount has not been credited to my account. My entire family is affected by this issue.,Banking & Finance
Worst experience ever. Router provided by the company is defective and replacement is taking weeks.,Telecom & Internet
My account was hacked and fraudulent orders were placed using my saved card. Please resolve this as a matter of urgency.,E-commerce & Shopping
Very frustrated customer here. Health app is showing incorrect readings and support is unresponsive. I will escalate this to a higher authority.,Healthcare & Pharmacy
My phone number was ported to another carrier without my authorization. I demand immediate resolution.,Telecom & Internet
"Worst experience ever. Product quality was terrible, nothing like the photos shown online. I will escalate this to a higher authority.",E-commerce & Shopping
Very frustrated customer here. Received an expired product from the online grocery store. I will escalate this to a higher authority.,E-commerce & Shopping
Very frustrated customer here. Charged a delivery fee that was not shown at the time of placing the order. My entire family is affected by this issue.,Food Delivery & Restaurant
Third time complaining about this. The bank sent my personal details to the wrong email address. Please resolve this as a matter of urgency.,Banking & Finance
Worst experience ever. The bank froze my account without any prior notice and I cannot access my funds. I demand immediate resolution.,Banking & Finance
Third time complaining about this. Prescription delivery from online pharmacy arrived three weeks late. I will escalate this to a higher authority.,Healthcare & Pharmacy
Third time complaining about this. Debit card declined at the supermarket even though I had available funds. My entire family is affected by this issue.,Banking & Finance
Worst experience ever. Order was cancelled after thirty minutes of waiting without explanation.,Food Delivery & Restaurant
Third time complaining about this. Charged for a specialist visit but I only saw a general practitioner. This is absolutely unacceptable.,Healthcare & Pharmacy
My phone number was ported to another carrier without my authorization. I will escalate this to a higher authority.,Telecom & Internet
Worst experience ever. Signal strength is extremely poor inside my house despite being in coverage zone. This is absolutely unacceptable.,Telecom & Internet
Extremely disappointed. Technical team closed my ticket without fixing the connectivity issue. This is absolutely unacceptable.,Telecom & Internet
Very frustrated customer here. Customer service chatbot is useless and no human agent is available. Awaiting your prompt response.,E-commerce & Shopping
Filing a formal complaint. The bank closed my account without any reason or advance notification. I will escalate this to a higher authority.,Banking & Finance
Very frustrated customer here. Made to wait five hours even though I had a confirmed appointment. This is absolutely unacceptable.,Healthcare & Pharmacy
Third time complaining about this. My phone number was ported to another carrier without my authorization. This is absolutely unacceptable.,Telecom & Internet
Third time complaining about this. Subscription was auto-renewed without sending any reminder or notification. I am considering switching to a competitor.,Telecom & Internet
Very frustrated customer here. App charged my card twice for the same single food order. I am considering switching to a competitor.,Food Delivery & Restaurant
ATM swallowed my card and the helpline kept me on hold for over two hours. Awaiting your prompt response.,Banking & Finance
Filing a formal complaint. My unlimited plan was throttled to 2G speeds after just ten days.,Telecom & Internet
Filing a formal complaint. Appointment was scheduled but the doctor did not show up at the clinic. I will escalate this to a higher authority.,Healthcare & Pharmacy
Extremely disappointed. Appointment was scheduled but the doctor did not show up at the clinic. I am considering switching to a competitor.,Healthcare & Pharmacy
Extremely disappointed. Prepaid balance disappeared from my account without any deduction history.,Telecom & Internet
Very frustrated customer here. The bank sent my personal details to the wrong email address. My entire family is affected by this issue.,Banking & Finance
I cannot believe this happened. Hospital bill contains charges for procedures that were never performed on me. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Prepaid balance disappeared from my account without any deduction history.,Telecom & Internet
Extremely disappointed. The food smelled rotten and appeared cooked several hours before delivery. I will escalate this to a higher authority.,Food Delivery & Restaurant
Worst experience ever. Nurse administered incorrect dosage of injection and hospital denied the mistake. I demand immediate resolution.,Healthcare & Pharmacy
Technical team closed my ticket without fixing the connectivity issue. I will escalate this to a higher authority.,Telecom & Internet
Worst experience ever. I was prescribed the wrong medication and it caused serious side effects. My entire family is affected by this issue.,Healthcare & Pharmacy
Worst experience ever. Seller is asking for direct payment outside the platform. I will escalate this to a higher authority.,E-commerce & Shopping
Extremely disappointed. My phone number was ported to another carrier without my authorization.,Telecom & Internet
Filing a formal complaint. Packaging was torn open and it was obvious someone had tampered with the food. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Long-time loyal customer here. My food order arrived two hours late and was completely cold when delivered. I demand immediate resolution.,Food Delivery & Restaurant
Extremely disappointed. Customer support is unreachable; I have been on hold for hours. My entire family is affected by this issue.,Telecom & Internet
Filing a formal complaint. My credit card was charged twice for the same transaction and nobody is helping me. This is absolutely unacceptable.,Banking & Finance
Long-time loyal customer here. Gift card balance deducted but the order was not placed successfully. Please resolve this as a matter of urgency.,E-commerce & Shopping
Very frustrated customer here. Overdraft fee charged even though I had sufficient balance in my account. Awaiting your prompt response.,Banking & Finance
Very frustrated customer here. I ordered a laptop but received a completely different product in the package. I demand immediate resolution.,E-commerce & Shopping
Long-time loyal customer here. My health insurance claim was rejected without any proper justification. My entire family is affected by this issue.,Healthcare & Pharmacy
Very frustrated customer here. Restaurant accepted my order but never started preparing it for over an hour. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Extremely disappointed. I was prescribed the wrong medication and it caused serious side effects. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
I cannot believe this happened. My credit card was charged twice for the same transaction and nobody is helping me. My entire family is affected by this issue.,Banking & Finance
Extremely disappointed. Insurance denied pre-authorization for a surgery recommended by my doctor. My entire family is affected by this issue.,Healthcare & Pharmacy
Long-time loyal customer here. Charged for a specialist visit but I only saw a general practitioner. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Filing a formal complaint. Charged a delivery fee that was not shown at the time of placing the order. I will escalate this to a higher authority.,Food Delivery & Restaurant
Third time complaining about this. App charged my card twice for the same single food order. My entire family is affected by this issue.,Food Delivery & Restaurant
Long-time loyal customer here. Hospital discharged me prematurely and my condition worsened within 24 hours. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
I cannot believe this happened. Clinic lost my medical test reports and asked me to repeat all tests. I will escalate this to a higher authority.,Healthcare & Pharmacy
Extremely disappointed. Charged a delivery fee that was not shown at the time of placing the order. I am considering switching to a competitor.,Food Delivery & Restaurant
Worst experience ever. Lab test results took three weeks when I was told two days. My entire family is affected by this issue.,Healthcare & Pharmacy
Third time complaining about this. My unlimited plan was throttled to 2G speeds after just ten days. I will escalate this to a higher authority.,Telecom & Internet
I cannot believe this happened. Refund for missing items was denied even though I sent photographic evidence. I demand immediate resolution.,Food Delivery & Restaurant
Long-time loyal customer here. My order was marked as delivered but I never received anything at my address. This is absolutely unacceptable.,E-commerce & Shopping
Extremely disappointed. Refund was promised within seven days but three weeks passed with no credit. Awaiting your prompt response.,E-commerce & Shopping
Very frustrated customer here. Charged shipping fee even though my order qualified for free delivery. I demand immediate resolution.,E-commerce & Shopping
Third time complaining about this. My fixed deposit matured but the amount has not been credited to my account. This is absolutely unacceptable.,Banking & Finance
Filing a formal complaint. Cheque bounced due to a bank error even though funds were available. This is absolutely unacceptable.,Banking & Finance
Seller sent a counterfeit product and the platform is taking no action. Please resolve this as a matter of urgency.,E-commerce & Shopping
I cannot believe this happened. Package arrived completely damaged and the contents were broken. My entire family is affected by this issue.,E-commerce & Shopping
Order tracking has not been updated for a week and nobody knows where it is. Please resolve this as a matter of urgency.,E-commerce & Shopping
Long-time loyal customer here. Network outage in my entire neighborhood has lasted more than 48 hours. This is absolutely unacceptable.,Telecom & Internet
I cannot believe this happened. Online doctor consultation app showed doctor available but was unresponsive. I will escalate this to a higher authority.,Healthcare & Pharmacy
Extremely disappointed. I applied for a refund three months ago and still have not received it. Please resolve this as a matter of urgency.,Banking & Finance
Third time complaining about this. Package arrived completely damaged and the contents were broken. I will escalate this to a higher authority.,E-commerce & Shopping
Third time complaining about this. My phone number was ported to another carrier without my authorization. Awaiting your prompt response.,Telecom & Internet
Long-time loyal customer here. Appointment was scheduled but the doctor did not show up at the clinic. I am considering switching to a competitor.,Healthcare & Pharmacy
Worst experience ever. Online banking portal crashes every time I try to transfer money.,Banking & Finance
Very frustrated customer here. Insurance denied pre-authorization for a surgery recommended by my doctor. My entire family is affected by this issue.,Healthcare & Pharmacy
Worst experience ever. Customer care is not responding to my complaint about the spoiled food.,Food Delivery & Restaurant
Received items from a completely different order meant for someone else. I will escalate this to a higher authority.,Food Delivery & Restaurant
Worst experience ever. Pharmacy dispensed expired medicine and refused to accept responsibility. I am considering switching to a competitor.,Healthcare & Pharmacy
Third time complaining about this. Order was cancelled after thirty minutes of waiting without explanation. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Very frustrated customer here. Call dropping issue persists in my area since two months with no resolution.,Telecom & Internet
Worst experience ever. Made to wait five hours even though I had a confirmed appointment. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Hospital bill contains charges for procedures that were never performed on me.,Healthcare & Pharmacy
Filing a formal complaint. Annual fee was deducted even though I opted for a fee-waiver account. This is absolutely unacceptable.,Banking & Finance
Third time complaining about this. Received items from a completely different order meant for someone else. I am considering switching to a competitor.,Food Delivery & Restaurant
Third time complaining about this. Delivery partner did not follow the contactless delivery instructions. This is absolutely unacceptable.,Food Delivery & Restaurant
Third time complaining about this. Received an expired product from the online grocery store. I demand immediate resolution.,E-commerce & Shopping
Worst experience ever. The restaurant lied about preparation time and order was two hours late. My entire family is affected by this issue.,Food Delivery & Restaurant
Third time complaining about this. Order tracking has not been updated for a week and nobody knows where it is. This is absolutely unacceptable.,E-commerce & Shopping
Third time complaining about this. Size chart was completely wrong and the returned item is being refused. I will escalate this to a higher authority.,E-commerce & Shopping
Third time complaining about this. Charged international roaming rates even though I was in the home country. This is absolutely unacceptable.,Telecom & Internet
Long-time loyal customer here. App charged my card twice for the same single food order. I will escalate this to a higher authority.,Food Delivery & Restaurant
I cannot believe this happened. Food quality has declined drastically and portions have become much smaller. I am considering switching to a competitor.,Food Delivery & Restaurant
Filing a formal complaint. Credit score was incorrectly reported and the bank refuses to correct it. Awaiting your prompt response.,Banking & Finance
Extremely disappointed. My health insurance claim was rejected without any proper justification. I demand immediate resolution.,Healthcare & Pharmacy
Extremely disappointed. Broadband was down for five consecutive days and no technician was sent. I demand immediate resolution.,Telecom & Internet
Mental health helpline put me on hold for forty minutes during a crisis. This is absolutely unacceptable.,Healthcare & Pharmacy
Long-time loyal customer here. Promo code was accepted but full price was charged on my final bill. I will escalate this to a higher authority.,Food Delivery & Restaurant
I cannot believe this happened. Charging me for a device I returned in good condition last month. Please resolve this as a matter of urgency.,Telecom & Internet
I cannot believe this happened. International transaction was blocked without any prior notice. I am considering switching to a competitor.,Banking & Finance
Third time complaining about this. Wire transfer was delayed for five business days with no explanation from the bank. This is absolutely unacceptable.,Banking & Finance
Extremely disappointed. Charged a delivery fee that was not shown at the time of placing the order. I am considering switching to a competitor.,Food Delivery & Restaurant
Very frustrated customer here. I applied for a refund three months ago and still have not received it. I am considering switching to a competitor.,Banking & Finance
My loan application has been pending for three weeks with absolutely no update. I will escalate this to a higher authority.,Banking & Finance
Long-time loyal customer here. Wire transfer was delayed for five business days with no explanation from the bank. I demand immediate resolution.,Banking & Finance
Hospital bill contains charges for procedures that were never performed on me. This is absolutely unacceptable.,Healthcare & Pharmacy
Filing a formal complaint. My account was hacked and fraudulent orders were placed using my saved card. I will escalate this to a higher authority.,E-commerce & Shopping
I cannot believe this happened. Order tracking has not been updated for a week and nobody knows where it is. My entire family is affected by this issue.,E-commerce & Shopping
Extremely disappointed. Health app is showing incorrect readings and support is unresponsive. This is absolutely unacceptable.,Healthcare & Pharmacy
Third time complaining about this. I applied for a refund three months ago and still have not received it. Please resolve this as a matter of urgency.,Banking & Finance
Worst experience ever. The bank sent my personal details to the wrong email address. Awaiting your prompt response.,Banking & Finance
Long-time loyal customer here. Internet speed drops to zero every evening even though I pay for 100 Mbps. I will escalate this to a higher authority.,Telecom & Internet
Long-time loyal customer here. Internet speed drops to zero every evening even though I pay for 100 Mbps. This is absolutely unacceptable.,Telecom & Internet
Extremely disappointed. ATM swallowed my card and the helpline kept me on hold for over two hours. This is absolutely unacceptable.,Banking & Finance
I cannot believe this happened. Flash sale price was shown but full price was charged at checkout. I demand immediate resolution.,E-commerce & Shopping
Extremely disappointed. Call dropping issue persists in my area since two months with no resolution. I will escalate this to a higher authority.,Telecom & Internet
Third time complaining about this. Signal strength is extremely poor inside my house despite being in coverage zone. Awaiting your prompt response.,Telecom & Internet
Worst experience ever. Prescription delivery from online pharmacy arrived three weeks late. I will escalate this to a higher authority.,Healthcare & Pharmacy
Long-time loyal customer here. Doctor rushed the consultation in under two minutes and barely examined me. I demand immediate resolution.,Healthcare & Pharmacy
Very frustrated customer here. Bank teller was extremely rude and refused to process my cheque. I am considering switching to a competitor.,Banking & Finance
Extremely disappointed. Lab test results took three weeks when I was told two days. Awaiting your prompt response.,Healthcare & Pharmacy
Filing a formal complaint. Network outage in my entire neighborhood has lasted more than 48 hours. Please resolve this as a matter of urgency.,Telecom & Internet
Filing a formal complaint. Bank teller was extremely rude and refused to process my cheque. I demand immediate resolution.,Banking & Finance
Long-time loyal customer here. Subscription box sent last month's items again instead of new products. This is absolutely unacceptable.,E-commerce & Shopping
Long-time loyal customer here. My credit card was charged twice for the same transaction and nobody is helping me.,Banking & Finance
Third time complaining about this. Doctor rushed the consultation in under two minutes and barely examined me. I will escalate this to a higher authority.,Healthcare & Pharmacy
Nurse administered incorrect dosage of injection and hospital denied the mistake. My entire family is affected by this issue.,Healthcare & Pharmacy
I cannot believe this happened. My fixed deposit matured but the amount has not been credited to my account.,Banking & Finance
Very frustrated customer here. Promo code was accepted but full price was charged on my final bill. I demand immediate resolution.,Food Delivery & Restaurant
Filing a formal complaint. Prepaid balance disappeared from my account without any deduction history. Please resolve this as a matter of urgency.,Telecom & Internet
Extremely disappointed. Cheque bounced due to a bank error even though funds were available. I am considering switching to a competitor.,Banking & Finance
Worst experience ever. Charging me for a device I returned in good condition last month. This is absolutely unacceptable.,Telecom & Internet
Extremely disappointed. Signal strength is extremely poor inside my house despite being in coverage zone. This is absolutely unacceptable.,Telecom & Internet
Worst experience ever. Customer support is unreachable; I have been on hold for hours. My entire family is affected by this issue.,Telecom & Internet
Filing a formal complaint. Flash sale price was shown but full price was charged at checkout. My entire family is affected by this issue.,E-commerce & Shopping
Long-time loyal customer here. Package arrived completely damaged and the contents were broken. I demand immediate resolution.,E-commerce & Shopping
I cannot believe this happened. I applied for a refund three months ago and still have not received it. I demand immediate resolution.,Banking & Finance
Long-time loyal customer here. Return request was rejected without any valid reason by the seller. Please resolve this as a matter of urgency.,E-commerce & Shopping
Third time complaining about this. Discount code was not applied at checkout despite being valid and active. Awaiting your prompt response.,E-commerce & Shopping
Worst experience ever. Order was cancelled after thirty minutes of waiting without explanation. This is absolutely unacceptable.,Food Delivery & Restaurant
Extremely disappointed. Clinic lost my medical test reports and asked me to repeat all tests. My entire family is affected by this issue.,Healthcare & Pharmacy
Filing a formal complaint. Received an expired product from the online grocery store. This is absolutely unacceptable.,E-commerce & Shopping
Worst experience ever. My loan application has been pending for three weeks with absolutely no update.,Banking & Finance
Extremely disappointed. Wrong items were delivered and the restaurant refused to send replacements. I demand immediate resolution.,Food Delivery & Restaurant
Extremely disappointed. Debit card declined at the supermarket even though I had available funds. My entire family is affected by this issue.,Banking & Finance
Worst experience ever. Seller sent a counterfeit product and the platform is taking no action.,E-commerce & Shopping
Worst experience ever. Annual fee was deducted even though I opted for a fee-waiver account. Please resolve this as a matter of urgency.,Banking & Finance
"SMS verification codes are not delivered, blocking me from using banking apps. Awaiting your prompt response.",Telecom & Internet
Long-time loyal customer here. Subscription box sent last month's items again instead of new products. I am considering switching to a competitor.,E-commerce & Shopping
Long-time loyal customer here. Delivery partner did not follow the contactless delivery instructions. This is absolutely unacceptable.,Food Delivery & Restaurant
Third time complaining about this. Data rollover feature was removed without any notification or consent. This is absolutely unacceptable.,Telecom & Internet
Worst experience ever. My phone number was ported to another carrier without my authorization. I demand immediate resolution.,Telecom & Internet
Extremely disappointed. No cutlery or napkins included even though I specifically requested them. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Filing a formal complaint. My order was marked as delivered but I never received anything at my address. Please resolve this as a matter of urgency.,E-commerce & Shopping
ATM swallowed my card and the helpline kept me on hold for over two hours. I demand immediate resolution.,Banking & Finance
Extremely disappointed. Charged for a specialist visit but I only saw a general practitioner.,Healthcare & Pharmacy
Very frustrated customer here. Seller sent a counterfeit product and the platform is taking no action. Please resolve this as a matter of urgency.,E-commerce & Shopping
Third time complaining about this. My account was hacked and fraudulent orders were placed using my saved card. Please resolve this as a matter of urgency.,E-commerce & Shopping
Third time complaining about this. Online banking portal crashes every time I try to transfer money. This is absolutely unacceptable.,Banking & Finance
Extremely disappointed. My order was marked as delivered but I never received anything at my address. I demand immediate resolution.,E-commerce & Shopping
Doctor rushed the consultation in under two minutes and barely examined me. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Delivery partner did not follow the contactless delivery instructions. My entire family is affected by this issue.,Food Delivery & Restaurant
Filing a formal complaint. Delivery driver marked the order as delivered but it never arrived.,Food Delivery & Restaurant
Worst experience ever. My order was marked as delivered but I never received anything at my address. I will escalate this to a higher authority.,E-commerce & Shopping
Very frustrated customer here. Received a bill three times higher than my usual monthly charges. I am considering switching to a competitor.,Telecom & Internet
Interest rates were changed without informing me. This is completely unacceptable. Please resolve this as a matter of urgency.,Banking & Finance
